#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-13T21:46:44 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9ada59131d
#INFO	-out.max=unlimited
#INFO	queryParameters=29
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/413/2218&tab:{J/MNRAS/413/2218/hyades}&key:source=J/MNRAS/413/2218/hyades&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/413/2218/hyades
#-order=I
#-out=SWASP
#-out=X
#-out=Per
#-out=J-Ks
#-out=Ksmag
#-out=Vmag
#-out=Dist
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=plx
#-out=Mmb
#-out=SpType
#-out=Vmagl
#-out=B-Vl
#-out=Ref
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_74132218
#Name: J/MNRAS/413/2218
#Title: Stellar rotation in Hyades and Praesepe (Delorme+, 2011)
#Table	J_MNRAS_413_2218_hyades:
#Name: J/MNRAS/413/2218/hyades
#Title: Hyades members with SuperWASP rotation periods
#Column	SWASP	(A19)	Swasp designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id,meta.main]
#Column	X	(A3)	[Yes/No ] X-ray activity? (table2 only) (1)	[ucd=meta.code]
#Column	Per	(F6.3)	Rotation (spin) period (2)	[ucd=time.period]
#Column	J-Ks	(F6.3)	2MASS J-Ks colour index	[ucd=phot.color,em.IR.J,em.IR.K]
#Column	Ksmag	(F5.2)	2MASS Ks magnitude	[ucd=phot.mag,em.IR.K]
#Column	Vmag	(F5.2)	? V magnitude	[ucd=phot.mag,em.opt.V]
#Column	Dist	(F4.1)	Distance to the cluster centre	[ucd=pos.angDistance]
#Column	pmRA	(F5.1)	Proper motion along RA	[ucd=pos.pm,pos.eq.ra]
#Column	e_pmRA	(F4.1)	rms uncertainty on pmRA	[ucd=stat.error,pos.pm,pos.eq.ra]
#Column	pmDE	(F5.1)	Proper motion along DE	[ucd=pos.pm,pos.eq.dec]
#Column	e_pmDE	(F4.1)	rms uncertainty on pmDE	[ucd=stat.error,pos.pm,pos.eq.dec]
#Column	plx	(F5.2)	? Parallax (table2 only)	[ucd=pos.parallax.trig]
#Column	Mmb	(F6.3)	Membership probability	[ucd=stat.probability]
#Column	SpType	(A4)	MK spectral type	[ucd=src.spType]
#Column	Vmagl	(F5.2)	? Literature V magnitude	[ucd=phot.mag,em.opt.V]
#Column	B-Vl	(F5.2)	? Literature B-V colour index	[ucd=phot.color,em.opt.B,em.opt.V]
#Column	Ref	(I2)	? Reference for photometry (1) [NULL integer written as an empty string]	[ucd=meta.ref,pos.frame]
#Column	SimbadName	(a22)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SWASP name (right ascension part)	[ucd=pos.eq.ra,meta.main]
#Column	_DE	(F9.5)	Position from SWASP name (declination part)	[ucd=pos.eq.dec,meta.main]
#-------------------,---,------,------,-----,-----,----,-----,----,-----,----,-----,------,----,-----,-----,--,----------------------,---------,---------
# , ,d,mag,mag,mag,deg,mas/yr,mas/yr,mas/yr,mas/yr,mas, , ,mag,mag, , ,deg,deg
SWASP,X,Per,J-Ks,Ksmag,Vmag,Dist,pmRA,e_pmRA,pmDE,e_pmDE,plx,Mmb,SpType,Vmagl,B-Vl,Ref,SimbadName,_RA,_DE
J042350.70+091219.5,Yes, 5.330, 0.891, 8.23,13.10, 7.9,104.0, 3.0, -6.0, 1.0,     , 1.000,M3  ,12.89, 1.51, 1,                      ,065.96125,+09.20542
J042359.13+164317.7,No ,17.140, 0.860, 8.56,12.80, 0.8,110.0, 2.0,-26.0, 1.0,     , 1.000,M0.5,12.55, 1.49, 3,Melotte 25 260        ,065.99637,+16.72158
J042416.93+180010.4,No ,11.600, 0.630, 7.52,10.00, 1.1,112.7, 2.4,-33.2, 1.9,19.31, 1.000,K5  , 9.99, 1.06, 1,Melotte 25 174        ,066.07054,+18.00289
J042500.18+165905.8,No ,11.770, 0.656, 7.83,10.40, 0.5, 95.8, 2.8,-23.7, 2.6,     , 1.000,K4  ,10.30, 1.03, 1,Melotte 25 175        ,066.25075,+16.98494
J042514.54+185824.9,Yes,10.840, 0.888, 8.70,12.80, 1.9, 92.0, 4.0,-28.0, 2.0,     , 1.000,    ,12.82, 1.48, 1,Cl* Melotte 25 PELS 40,066.31058,+18.97358
J042547.55+180102.2,Yes, 8.460, 0.547, 6.77,     , 0.9,112.6, 2.4,-35.7, 2.0,20.79, 1.000,K2  , 9.01, 0.94, 1,Melotte 25 176        ,066.44812,+18.01728
J042642.81+124111.7,Yes,12.610, 0.794, 7.03,     , 4.4,123.4, 3.9,-16.7, 2.5,29.09, 1.000,M0  ,10.48, 1.36, 2,Melotte 25 269        ,066.67837,+12.68658
J042648.25+105215.9,Yes,10.400, 0.646, 6.88, 9.40, 6.2,111.0, 1.8,-16.2, 1.3,24.11, 1.000,K5  , 9.45, 1.04, 2,Melotte 25 271        ,066.70104,+10.87108
J042725.34+141538.3,Yes,12.776, 0.661, 7.71,10.30, 2.8,103.2, 1.4,-19.4, 1.6,     , 1.000,K2  ,10.30, 1.08, 4,Melotte 25 177        ,066.85558,+14.26064
J042747.03+142503.8,Yes, 9.700, 0.546, 7.35, 9.50, 2.7,101.4, 1.9,-20.0, 1.5,19.00, 1.000,K0  , 9.49, 0.92, 3,Melotte 25 179        ,066.94596,+14.41772
J042828.78+174145.1,Yes, 2.420, 0.881, 7.71,12.10, 0.7,105.1,16.3,-20.1, 8.3,     , 1.000,M1  ,12.05, 1.49, 5,Cl* Melotte 25 VA 486 ,067.11992,+17.69586
J043033.88+144453.1,No ,18.410, 0.852, 9.71,     , 2.5,102.0,12.0,-22.0, 2.0,     , 1.000,M   ,14.68, 1.56, 5,Cl* Melotte 25 LH 75  ,067.64117,+14.74808
J043034.87+154402.3,Yes, 8.730, 0.519, 6.82, 8.80, 1.6, 99.5,11.1,-21.5, 1.1,     , 1.000,K0  , 8.93, 0.84, 1,Melotte 25 182        ,067.64529,+15.73397
J043152.40+152958.3,No ,13.130, 0.772, 7.89,11.30, 2.0,100.7,14.5,-23.4, 3.2,19.12, 1.000,K0  ,11.04, 1.31, 1,Melotte 25 191        ,067.96833,+15.49953
J043225.66+130647.6,Yes, 1.480, 0.769, 7.65,11.10, 4.2,102.3,13.5,-18.7,12.7,17.75, 1.000,K0  ,10.91, 1.19, 2,Melotte 25 288        ,068.10692,+13.11322
J043323.75+235927.0,Yes,17.550, 0.885, 8.03,     , 7.1, 94.0,12.0,-50.0, 1.0,     , 1.000,K6  ,12.62, 1.52, 1,Cl* Melotte 25 PELS 74,068.34896,+23.99083
J043327.00+130243.6,No ,16.290, 0.861, 8.82,13.40, 4.3,108.0,13.0,-18.0, 2.0,     , 1.000,    ,13.16, 1.57, 1,                      ,068.36250,+13.04544
J043337.18+210903.0,No ,12.690, 0.741, 7.69,10.60, 4.4,109.2,12.2,-45.3, 1.7,26.74, 1.000,K0  ,10.70, 1.23, 2,Melotte 25 290        ,068.40492,+21.15083
J043411.14+113328.4,Yes,11.030, 0.831, 8.06,11.30, 5.8,100.7,12.2,-17.5, 1.5,     , 1.000,K4  ,11.73, 1.39, 2,Melotte 25 294        ,068.54642,+11.55789
J043548.51+131717.0,Yes,13.360, 0.863, 9.87,14.90, 4.4, 92.0,12.0,-16.0, 1.0,     , 1.000,M2.5,14.91, 1.63, 1,Cl* Melotte 25 VA 776 ,068.95212,+13.28806
J043605.26+154102.4,No , 9.470, 0.487, 7.37, 9.30, 2.6, 95.0,11.0,-23.1, 1.2,     , 1.000,K0  , 9.37, 0.87, 2,Melotte 25 99         ,069.02192,+15.68400
J043950.97+124342.5,Yes,10.850, 0.609, 7.48,10.00, 5.4,102.0,12.2,-17.6, 1.6,23.33, 1.000,K5  ,10.06, 1.07, 2,Melotte 25 311        ,069.96237,+12.72847
J044127.81+140434.1,   , 1.280, 0.865, 8.71,13.30, 4.6, 86.0,13.0,-18.0, 4.0,     , 1.000,M2.5,     ,     ,  ,                      ,070.36587,+14.07614
J044128.75+120033.7,No ,18.000, 0.859, 8.75,13.00, 6.2, 86.0,12.0,-14.0, 5.0,     , 0.999,    ,12.88, 1.50, 4,                      ,070.36979,+12.00936
J044129.67+131316.3,No ,15.420, 0.849, 7.51,11.20, 5.2, 99.1,12.7,-19.2, 2.3,     , 1.000,    ,11.23, 1.44, 3,Melotte 25 316        ,070.37362,+13.22119
J044142.98+082620.0,   , 8.020, 0.879,10.06,14.70, 9.4,100.0,14.0, -6.0, 2.0,     , 1.000,    ,     ,     ,  ,                      ,070.42908,+08.43889
J044315.69+170408.7,Yes,10.310, 0.606, 7.40, 9.90, 3.9, 95.4,11.6,-30.4, 1.3,     , 1.000,K0  , 9.86, 1.00, 2,Melotte 25 319        ,070.81537,+17.06908
J044618.79+033810.7,No ,13.250, 0.744, 7.83,11.00,14.3, 92.5,12.8, 12.9, 2.1,23.05, 1.000,K4.5,10.93, 1.27, 2,Melotte 25 326        ,071.57829,+03.63631
J044630.38+152819.3,Yes, 7.950, 0.360, 6.74, 8.30, 5.0, 91.3,11.4,-24.7, 1.0,21.08, 1.000,G5  , 8.30, 0.66, 2,Melotte 25 142        ,071.62658,+15.47203
J044718.51+062711.6,No ,14.440, 0.776, 7.87,12.00,11.7, 99.9,15.0,  9.5, 2.8,     , 1.000,K6  ,11.33, 1.42, 2,                      ,071.82712,+06.45322
J044800.88+170321.6,Yes,10.770, 0.840, 7.37,11.70, 5.0, 89.1,12.1,-30.2, 2.1,     , 1.000,    ,11.12, 1.41, 4,Melotte 25 331        ,072.00367,+17.05600
J044830.61+162319.0,   ,15.690, 0.872, 8.54,12.60, 5.2, 78.0,16.0,-30.0, 3.0,     , 1.000,    ,12.42, 1.47, 4,                      ,072.12754,+16.38861
J044842.13+210603.6,Yes, 9.690, 0.450, 7.07, 9.10, 6.5, 81.8,15.0,-46.4, 4.7,19.41, 1.000,G5  , 9.06, 0.85, 2,Melotte 25 115        ,072.17554,+21.10100
J044912.98+244810.2,Yes, 6.900, 0.626, 6.96, 9.50, 9.3, 85.2,11.6,-52.0,11.2,20.11, 1.000,K3  , 9.53, 1.04, 4,Melotte 25 117        ,072.30408,+24.80283
J044952.11+060633.6,No ,17.120, 0.834, 9.63,14.50,12.3, 96.0,15.0,  6.0, 2.0,     , 1.000,    ,14.73, 1.63, 4,                      ,072.46712,+06.10933
J045000.70+162443.5,No ,11.980, 0.646, 7.84,10.70, 5.5, 89.2,12.2,-28.9, 1.7,     , 1.000,K0  ,10.61, 1.16, 1,                      ,072.50292,+16.41208
J045102.41+145816.5,   ,13.140, 0.829, 7.97,11.90, 6.2, 88.0,13.0,-32.0, 6.0,     , 1.000,M0  ,     ,     ,  ,                      ,072.76004,+14.97125
J045223.53+185948.9,Yes,11.340, 0.633, 7.74,10.30, 6.3, 78.6,12.3,-31.4, 1.5,21.55, 1.000,K0  ,10.29, 1.07, 1,Cl* Melotte 25 PELS 98,073.09804,+18.99692
J045223.86+104309.9,   , 9.880, 0.860, 8.77,13.00, 8.9, 76.0,14.0,-12.0, 5.0,     , 1.000,    ,     ,     ,  ,                      ,073.09942,+10.71942
J050540.37+062754.6,No ,10.410, 0.609, 7.52, 9.90,14.2, 66.0,12.1,  4.2, 1.1,19.24, 1.000,K2  , 9.92, 0.95, 2,Melotte 25 151        ,076.41821,+06.46517
J051109.69+154857.5,   ,14.940, 0.872, 8.10,12.30,10.7, 63.2,16.3,-26.8,18.3,     , 0.992,K4.5,     ,     ,  ,                      ,077.79037,+15.81597
J051119.30+075432.0,   ,13.230, 0.696, 8.30,11.20,14.2, 52.5,16.3,  0.2,18.1,     , 0.947,K5  ,     ,     ,  ,                      ,077.83042,+07.90889

