#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-09-13T21:38:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9ad8a317a66
#INFO	-out.max=unlimited
#INFO	queryParameters=33
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/141/166&tab:{J/AJ/141/166/vars}&key:source=J/AJ/141/166/vars&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/141/166/vars
#-order=I
#-out=HAT
#-out=n_HAT
#-out=pmRA
#-out=pmDE
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=Vmag
#-out=r_Vmag
#-out=Pe
#-out=dR.e1
#-out=dR.e2
#-out=Qe
#-out=Pt
#-out=dR.t1
#-out=dR.t2
#-out=Qt
#-out=N
#-out=2M
#2M=2M
#-out=Simbad
#Simbad=Simbad
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_51410166
#Name: J/AJ/141/166
#Title: HATNet variability survey of K and M dwarfs (Hartman+, 2011)
#Table	J_AJ_141_166_vars:
#Name: J/AJ/141/166/vars
#Title: Catalog of periodic variables (table6)
#Column	HAT	(A11)	HAT designation (FFF-NNNNNNN)	[ucd=meta.id,meta.main]
#Column	n_HAT	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	pmRA	(F8.2)	PPMX Proper motion in Right Ascension	[ucd=pos.pm,pos.eq.ra]
#Column	pmDE	(F8.2)	PPMX Proper motion in Declination	[ucd=pos.pm,pos.eq.dec]
#Column	Jmag	(F7.3)	2MASS J apparent magnitude	[ucd=phot.mag,em.IR.J]
#Column	Hmag	(F7.3)	2MASS H apparent magnitude	[ucd=phot.mag,em.IR.H]
#Column	Kmag	(F7.3)	2MASS Ks apparent magnitude	[ucd=phot.mag,em.IR.K]
#Column	Vmag	(F7.3)	Magnitude (apparent) in V filter	[ucd=phot.mag,em.opt.V]
#Column	r_Vmag	(I1)	[0/2] Source for Vmag (G1)	[ucd=meta.ref,pos.frame]
#Column	Pe	(F10.6)	? Period from AH applied to the EPD light curves (1)	[ucd=time.period]
#Column	dR.e1	(F6.3)	? R Amplitude of EPD lc phased at Pe (2)	[ucd=phot.mag,em.opt.R]
#Column	dR.e2	(F6.3)	? R Amplitude of TFA lc phased at Pe (2)	[ucd=phot.mag,em.opt.R]
#Column	Qe	(I1)	[0/2] Quality flag for AH/EPD (3)	[ucd=meta.code.qual]
#Column	Pt	(F10.6)	? Period from AH applied to the TFA light curves (1)	[ucd=time.period]
#Column	dR.t1	(F6.3)	? R Amplitude of EPD lc phased at Pt (2)	[ucd=phot.mag,em.opt.R]
#Column	dR.t2	(F6.3)	? R Amplitude of TFA lc phased at Pt (2)	[ucd=phot.mag,em.opt.R]
#Column	Qt	(I1)	[0/2] Quality flag for AH/TFA, 0=ok (3)	[ucd=meta.code.qual]
#Column	N	(I2)	Number of other 2MASS sources within 30" of the source	[ucd=meta.number]
#Column	2M	(A2)	Display details of the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A11)	2MASS Right Ascension J2000	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A11)	2MASS Declination J2000	[ucd=pos.eq.dec,meta.main]
# , ,mas/yr,mas/yr,mag,mag,mag,mag, ,d,mag,mag, ,d,mag,mag, , , , ,"h:m:s","d:m:s"
#-----------,-,--------,--------,-------,-------,-------,-------,-,----------,------,------,-,----------,------,------,-,--,--,------,-----------,-----------
HAT,n_HAT,pmRA,pmDE,Jmag,Hmag,Kmag,Vmag,r_Vmag,Pe,dR.e1,dR.e2,Qe,Pt,dR.t1,dR.t2,Qt,N,2M,Simbad,RAJ2000,DEJ2000
087-0001873,X,  422.14,  118.81,  8.847,  8.289,  7.991, 12.816,1,  1.093670, 0.017, 0.011,1,  1.093320, 0.018, 0.011,0, 0,2M,Simbad,00 28 53.92,+50 22 33.0
087-0002547,X,   55.15,  -31.69,  9.205,  8.546,  8.341, 12.181,1,  8.346128, 0.028, 0.020,0,  8.354297, 0.027, 0.020,0, 6,2M,Simbad,00 36 34.36,+55 37 36.0
087-0002617,X,  205.00,  -32.56,  9.139,  8.454,  8.205, 12.474,1,  6.175283, 0.015, 0.010,0,  6.166360, 0.014, 0.012,0, 1,2M,Simbad,00 21 57.81,+49 12 38.0
087-0003152, ,  133.43, -109.27,  9.418,  8.784,  8.552, 12.332,1,          ,      ,      ,2, 16.010804, 0.007, 0.007,0, 2,2M,Simbad,00 30 51.39,+52 21 29.5
087-0005108, ,   78.75,   -5.78,  9.969,  9.304,  9.126, 12.457,2,          ,      ,      ,2,  6.946785, 0.021, 0.005,0, 2,2M,Simbad,00 47 15.46,+53 49 34.4
087-0005652, ,   83.05,  -64.78, 10.099,  9.497,  9.284, 13.655,1, 62.689561, 0.065, 0.045,1,          ,      ,      ,2, 1,2M,Simbad,00 48 33.83,+53 36 56.6
087-0008057, ,  -82.86,   55.75, 10.395,  9.679,  9.454, 12.906,1, 20.608888, 0.022, 0.008,0, 22.630709, 0.020, 0.011,0, 2,2M,Simbad,00 45 41.10,+56 08 09.1
087-0008179, ,   -2.62,  -37.14, 10.531,  9.837,  9.688, 12.642,1,  8.870932, 0.072, 0.061,0,  8.880162, 0.070, 0.061,0, 3,2M,Simbad,00 49 04.42,+54 27 07.5
087-0008853, ,  -94.61,   57.51, 10.566,  9.858,  9.675, 13.095,1, 19.130720, 0.023, 0.014,0, 18.369031, 0.017, 0.009,0, 3,2M,Simbad,00 39 06.95,+54 44 08.6
087-0009171, ,   -7.23,  -42.02, 10.706, 10.056,  9.897, 13.171,1,  6.289037, 0.095, 0.077,0,  6.289037, 0.095, 0.077,0, 2,2M,Simbad,00 52 19.38,+50 53 35.9
087-0010183, ,   38.50, -567.31, 10.793, 10.115,  9.955, 13.136,1, 89.233578, 0.019, 0.003,1,          ,      ,      ,2, 5,2M,Simbad,00 50 22.39,+55 10 48.3
087-0011790, ,   84.23,  -36.08, 10.945, 10.255, 10.089, 13.754,1,          ,      ,      ,2, 18.077243, 0.026, 0.015,0, 5,2M,Simbad,00 40 56.21,+53 26 16.4
087-0013870, ,   14.37,  -27.71, 11.249, 10.623, 10.482, 12.979,1, 66.344228, 0.029, 0.060,1,          ,      ,      ,2, 5,2M,Simbad,00 48 51.79,+53 33 37.5
087-0014347, ,   -1.11,  -96.75, 11.176, 10.555, 10.333, 14.606,1,  0.559494, 0.054, 0.051,0,  0.559604, 0.051, 0.046,0, 2,2M,Simbad,00 59 25.48,+51 43 36.4
087-0015254, ,   30.59,  -25.39, 11.320, 10.694, 10.523, 14.022,1, 13.796442, 0.030, 0.016,0, 13.652994, 0.019, 0.020,0, 1,2M,Simbad,00 58 31.20,+49 41 25.4
087-0015760, ,   45.52,   54.20, 11.351, 10.738, 10.552, 13.271,1, 18.568847, 0.170, 0.120,0, 18.428523, 0.157, 0.111,0, 6,2M,Simbad,00 38 21.22,+55 43 07.4
087-0016252, ,   32.81,  -49.04, 11.383, 10.726, 10.568, 13.875,1, 65.328623, 0.476, 0.005,1,          ,      ,      ,2, 2,2M,Simbad,00 41 44.21,+53 56 48.0
087-0016301, ,  -37.41,   12.76, 11.310, 10.613, 10.433, 13.904,2,  0.522008, 0.013, 0.011,0,  0.522103, 0.013, 0.011,0, 5,2M,Simbad,00 34 50.23,+53 42 12.1
087-0016597, ,  -25.56,   61.62, 11.320, 10.643, 10.440, 14.164,1, 58.802498, 0.051,      ,1,          ,      ,      ,2, 4,2M,Simbad,00 46 26.36,+55 33 00.5
087-0017839, ,  -40.99,  -13.82, 11.525, 10.885, 10.731, 14.081,1,  6.402255, 0.113, 0.097,0,  6.399855, 0.113, 0.097,0, 4,2M,Simbad,00 59 50.43,+51 43 13.6
087-0018056, ,   23.91,  -20.85, 11.547, 10.925, 10.761, 13.851,1, 78.919914, 0.036, 0.005,1,          ,      ,      ,2, 4,2M,Simbad,00 53 18.59,+53 33 09.7
087-0020700, ,   25.42,  -28.52, 11.747, 11.109, 10.975, 14.022,2, 11.633842, 0.028, 0.020,0, 11.681610, 0.021, 0.018,0, 6,2M,Simbad,00 51 49.33,+55 29 41.0
087-0021934, ,   17.95,  -28.39, 11.829, 11.284, 11.089, 14.151,1,  6.497985, 0.065, 0.051,0,  6.497985, 0.065, 0.051,0, 3,2M,Simbad,00 55 08.21,+48 48 09.7
087-0024596, ,   31.03,    2.39, 11.965, 11.367, 11.204, 14.265,1,  0.754734, 0.092, 0.082,0,  0.754533, 0.092, 0.086,0, 1,2M,Simbad,00 34 35.01,+48 45 57.5
087-0030366, ,   40.08,   21.58, 12.126, 11.487, 11.280, 13.470,1,  1.553077, 0.031, 0.028,0,  1.554066, 0.029, 0.025,0, 3,2M,Simbad,00 44 05.34,+54 11 21.9
087-0042087, ,   29.59,    6.08, 12.666, 12.049, 11.900, 14.958,2, 10.940762, 0.022, 0.016,0, 10.940762, 0.022, 0.016,0, 2,2M,Simbad,00 29 46.74,+54 39 23.2
087-0048461, ,  -38.67,  -18.88, 12.767, 12.107, 11.934, 15.261,2,          ,      ,      ,2,  0.184673, 0.065, 0.052,0, 2,2M,Simbad,00 29 48.15,+49 14 43.8
087-0076786, , -411.30,  -12.03, 13.370, 12.678, 12.511, 15.930,2,  5.635075, 0.034, 0.033,0,  5.638798, 0.034, 0.033,0, 1,2M,Simbad,00 40 06.59,+51 16 50.5
087-0294293, ,   55.18,  -11.07, 11.208, 10.567, 10.385, 13.960,1,  0.764652, 0.042, 0.037,0,  0.764652, 0.042, 0.037,0, 1,2M,Simbad,00 32 10.55,+51 28 35.5
087-0405649, ,   48.54,   10.73, 10.873, 10.206, 10.094, 13.431,1, 47.378180, 0.011, 0.005,1,          ,      ,      ,2, 3,2M,Simbad,00 26 44.56,+53 28 20.6
088-0006118, ,   80.67,  -23.75, 10.260,  9.623,  9.414, 12.901,1,          ,      ,      ,2,  7.609475, 0.018, 0.008,0, 5,2M,Simbad,01 05 22.46,+55 52 58.5
088-0006717, ,   45.63,    2.36, 10.349,  9.661,  9.476, 13.646,1, 20.708895, 0.026, 0.005,0,          ,      ,      ,2, 0,2M,Simbad,01 11 17.60,+50 26 22.3
088-0007376, ,  -97.86,  -14.29, 11.716, 11.027, 10.874, 13.411,1,  6.878496, 0.036, 0.033,0,  6.865996, 0.035, 0.031,0, 1,2M,Simbad,01 00 51.75,+48 57 11.7
088-0010553, ,  -29.80,   11.58, 10.892, 10.223, 10.039, 13.836,1,  1.826427, 0.026, 0.024,0,  1.826818, 0.026, 0.024,0, 2,2M,Simbad,01 01 17.23,+55 41 52.6
088-0010589, ,   37.66,  -41.83, 10.880, 10.172, 10.005, 13.393,1, 16.084368, 0.014, 0.013,0, 15.993947, 0.021, 0.017,0, 2,2M,Simbad,01 03 56.56,+51 44 44.4
088-0011211, ,   40.54,  -15.14, 11.009, 10.346, 10.186, 13.908,1, 32.745731, 0.019, 0.011,1,          ,      ,      ,2, 3,2M,Simbad,01 02 15.35,+54 59 16.2
088-0011599, ,   25.85,  -35.99, 11.042, 10.376, 10.212, 13.272,1,  4.053459, 0.084, 0.066,0,          ,      ,      ,2, 4,2M,Simbad,01 06 55.65,+53 28 03.3
088-0012439, ,   79.28,   11.37, 11.177, 10.561, 10.398, 12.800,1, 75.767312, 0.034, 0.041,1,          ,      ,      ,2, 2,2M,Simbad,01 03 07.06,+56 07 34.9
088-0014032, ,   33.45,   10.52, 11.239, 10.579, 10.388, 13.883,1,  1.617075, 0.028, 0.027,0,  1.617535, 0.028, 0.025,0, 3,2M,Simbad,01 07 45.95,+53 31 54.1
088-0026988, ,   -8.45,   35.27, 12.116, 11.453, 11.309, 14.774,1,  4.173369, 0.165, 0.144,0,  4.170311, 0.165, 0.141,0, 1,2M,Simbad,01 00 37.07,+50 35 21.2
088-0033339, ,  -64.87,   -3.16, 12.413, 11.790, 11.632, 14.752,2, 73.801877, 0.053, 0.019,1,          ,      ,      ,2, 2,2M,Simbad,01 03 06.22,+56 07 34.7
088-0033364, ,  443.32,    2.53, 12.360, 11.762, 11.550, 14.603,1,          ,      ,      ,2,  3.557027,      ,      ,0, 1,2M,Simbad,01 33 09.45,+48 55 34.1
091-0010879, ,   25.02,  -21.72, 11.112, 10.527, 10.352, 13.285,1,  2.472605,      ,      ,0,  2.472249,      ,      ,0, 6,2M,Simbad,03 07 35.29,+49 07 21.9
091-0010976,x,   23.98,  -36.98, 11.056, 10.407, 10.235, 13.609,1,  0.182855,      ,      ,0,  0.182863,      ,      ,0, 2,2M,Simbad,03 18 58.70,+48 50 42.3
091-0013763, ,   65.13,  -19.40, 11.326, 10.683, 10.515, 14.023,1,  0.136135,      ,      ,0,  0.136139,      ,      ,0, 5,2M,Simbad,03 08 45.13,+48 59 57.3
091-0016338,x,   26.32,  -27.62, 11.551, 10.912, 10.758, 14.134,1,  0.641578,      ,      ,0,  0.641578,      ,      ,0, 3,2M,Simbad,03 24 25.10,+48 48 21.3
093-0000525, ,  498.95, -338.03,  7.896,  7.265,  7.042, 10.969,0, 30.477344, 0.008, 0.002,0,          ,      ,      ,2, 3,2M,Simbad,04 58 45.99,+50 56 37.9
093-0000949, ,   39.90, -162.89,  8.519,  7.919,  7.722, 11.381,0, 14.152339, 0.016, 0.007,0, 13.956890, 0.012, 0.011,0, 3,2M,Simbad,04 58 30.44,+51 48 17.4
093-0001111,X,   72.08, -100.08,  8.733,  8.130,  7.972, 11.230,0, 10.462136, 0.043, 0.029,0, 10.516572, 0.042, 0.025,0, 3,2M,Simbad,04 48 54.99,+55 27 18.6
093-0002462, ,  -74.22,  -64.39,  9.489,  8.896,  8.697, 12.326,1, 15.260965, 0.005, 0.001,0,          ,      ,      ,2, 5,2M,Simbad,04 50 00.02,+48 56 34.4
093-0004152, ,   45.84, -109.14, 10.017,  9.346,  9.190, 12.925,1, 28.440339, 0.018, 0.004,0,          ,      ,      ,2, 4,2M,Simbad,04 58 03.86,+48 57 17.0
093-0006510, ,  -17.27,  -43.89, 10.556,  9.966,  9.781, 13.358,1, 13.435050, 0.012, 0.007,0,  1.170826, 0.005, 0.005,0, 2,2M,Simbad,04 58 56.63,+55 34 34.2
093-0008291, ,   25.18,   58.21, 10.682,  9.970,  9.782, 13.445,1,          ,      ,      ,2,  0.250319, 0.007, 0.007,0, 6,2M,Simbad,04 54 45.13,+53 57 56.5
093-0008853, ,  -15.10,  -48.96, 10.781, 10.145,  9.920, 14.124,1, 11.512410, 0.009, 0.003,0,          ,      ,      ,2, 3,2M,Simbad,04 54 17.62,+51 25 37.1
093-0010073, ,  -82.47,  -12.59, 10.825, 10.120,  9.879, 13.569,1,  6.482033, 0.084, 0.061,0,  6.479435, 0.084, 0.061,0, 7,2M,Simbad,04 48 40.42,+50 01 06.1
093-0010549, ,   56.04,  -59.71, 11.061, 10.370, 10.242, 13.544,1, 13.708410, 0.011, 0.004,0,          ,      ,      ,2, 5,2M,Simbad,04 58 51.19,+55 19 40.9
093-0012692, ,  -36.19,  -13.32, 11.264, 10.619, 10.453, 14.343,1, 15.090061, 0.024, 0.010,0,          ,      ,      ,2, 3,2M,Simbad,04 56 55.47,+52 33 11.4
093-0013695, ,  -36.24,  -81.39, 11.317, 10.668, 10.483, 13.757,1,  1.041560, 0.016, 0.005,0,          ,      ,      ,2, 4,2M,Simbad,04 59 58.48,+50 15 34.6
093-0014483, ,   33.06,  -56.83, 11.420, 10.858, 10.634, 14.286,1, 18.116358, 0.009, 0.003,0,          ,      ,      ,2, 3,2M,Simbad,04 54 49.64,+52 53 30.5
093-0019940, ,  -27.15,  -56.69, 11.768, 11.099, 10.942, 14.267,1,  1.221045, 0.099, 0.072,0,  1.220953, 0.091, 0.064,0, 3,2M,Simbad,04 51 15.90,+53 20 51.4
093-0021087, ,   24.69,  -45.26, 11.802, 11.174, 10.967, 14.552,1,  8.172528, 0.059, 0.038,0,  8.172528, 0.059, 0.038,0, 5,2M,Simbad,04 57 14.72,+55 59 56.6
093-0021270, ,    3.73,  -53.81, 11.883, 11.277, 11.101, 14.387,1,  6.555616, 0.034, 0.027,0,  6.550305, 0.035, 0.024,0, 4,2M,Simbad,04 56 21.25,+50 05 21.3
093-0021952, ,  -85.99,   10.23, 11.944, 11.359, 11.182, 13.841,1,  5.319786, 0.084, 0.059,0,  5.321537, 0.084, 0.059,0, 4,2M,Simbad,04 49 16.81,+48 50 11.3
093-0023231, ,   47.09,  -65.60, 12.012, 11.355, 11.231, 13.802,1, 11.636685, 0.023, 0.015,0,          ,      ,      ,2, 2,2M,Simbad,04 57 12.42,+55 23 53.6
094-0000484, ,  176.91, -388.57,  7.827,  7.197,  6.969, 11.245,1, 32.695895, 0.006, 0.001,0,          ,      ,      ,2, 4,2M,Simbad,05 10 22.08,+48 50 32.7
094-0000572, ,  -51.76, -222.32,  8.001,  7.381,  7.157, 11.053,0, 39.194655, 0.008, 0.002,0,          ,      ,      ,2, 1,2M,Simbad,05 34 08.70,+51 12 56.6
094-0002836, ,  102.95, -222.57,  9.569,  8.946,  8.672, 13.438,0, 43.402912, 0.008, 0.001,0,          ,      ,      ,2, 4,2M,Simbad,05 32 16.74,+51 59 39.8
094-0003592, ,   -6.88,  -98.20,  9.965,  9.342,  9.165, 12.635,1, 22.043153, 0.010, 0.003,0, 21.893921, 0.009, 0.003,0, 4,2M,Simbad,05 17 33.57,+48 46 14.6
094-0004894,X,   10.86,  -74.72, 10.275,  9.631,  9.442, 13.598,1,          ,      ,      ,2,  4.231203, 0.005, 0.003,0, 1,2M,Simbad,05 07 18.24,+53 07 11.6
094-0005389,X,   -0.22,  -34.95, 10.332,  9.691,  9.466, 13.613,1,  0.833813, 0.062, 0.045,0,  0.833985, 0.062, 0.045,0, 1,2M,Simbad,05 30 01.79,+48 49 35.3
094-0006374, ,   20.52,   24.58, 10.533,  9.868,  9.671, 13.373,1, 16.048588, 0.020, 0.008,0,          ,      ,      ,2, 1,2M,Simbad,05 18 25.22,+51 43 22.5
094-0006428,X,   16.61,  -72.76, 10.662, 10.073,  9.901, 13.320,1,  1.583942, 0.028, 0.023,0,  1.584253, 0.029, 0.022,0, 5,2M,Simbad,05 08 10.26,+53 24 30.8
094-0006634, ,   10.18,  -38.42, 10.544,  9.845,  9.649, 12.935,1, 10.599295, 0.092, 0.053,0, 10.599295, 0.092, 0.053,0, 4,2M,Simbad,05 23 39.03,+49 54 12.7
094-0007179, ,   18.22,   48.55, 10.665, 10.041,  9.816, 14.001,1, 32.629916, 0.011, 0.003,1,          ,      ,      ,2, 1,2M,Simbad,05 35 56.85,+52 09 56.0
094-0007288, ,   21.30,  -28.92, 10.752, 10.090,  9.938, 13.414,1,          ,      ,      ,2, 17.699912, 0.012, 0.005,0, 1,2M,Simbad,05 06 02.31,+52 32 04.8
094-0007885, ,    4.39,  -35.34, 10.797, 10.139,  9.958, 13.797,1,  4.307857, 0.030, 0.023,0,  4.307857, 0.030, 0.023,0, 0,2M,Simbad,05 35 22.84,+53 16 02.7
094-0008013, ,   86.47, -117.72, 10.907, 10.265, 10.135, 13.338,1, 22.133673, 0.014, 0.005,0,          ,      ,      ,2, 2,2M,Simbad,05 34 32.96,+50 49 33.5
094-0008469, ,   28.65,  -33.72, 10.925, 10.272, 10.117, 13.794,1, 18.468111, 0.011, 0.006,0,  9.127462, 0.010, 0.004,0, 3,2M,Simbad,05 27 33.07,+50 42 15.6
