#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-25T14:21:10 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5baa444f4eda
#INFO	-out.max=unlimited
#INFO	queryParameters=20
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/733/L9&tab:{J/ApJ/733/L9/table1}&key:source=J/ApJ/733/L9&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/733/L9/table1
#-order=I
#-out=KIC
#-out=RAJ2000
#-out=DEJ2000
#-out=gmag
#-out=rmag
#-out=Per
#-out=e_Per
#-out=o_Per
#-out=Mm
#-out=Simbad
#Simbad=Simbad
#

#RESOURCE=yCat_17339009
#Name: J/ApJ/733/L9
#Title: Stellar rotation for 71 NGC 6811 members (Meibom+, 2011)
#Table	J_ApJ_733_L9_table1:
#Name: J/ApJ/733/L9/table1
#Title: Data for the 71 members of NGC 6811 with measured rotation periods
#Column	KIC	(I7)	[9410241/9957187] Kepler identification number (1)	[ucd=meta.id,meta.main]
#Column	RAJ2000	(A11)	[19] Hour of Right Ascension (J2000)	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A11)	[45/46] Degree of Declination (J2000)	[ucd=pos.eq.dec,meta.main]
#Column	gmag	(F5.2)	[13.22/17.38] g-band magnitude (SDSS system, from Cat. V/133)	[ucd=phot.mag,em.opt.B]
#Column	rmag	(F5.2)	[12.95/16.55] r-band magnitude (SDSS system, from Cat. V/133)	[ucd=phot.mag,em.opt.R]
#Column	Per	(F5.2)	[0.92/16.4] Rotation period	[ucd=time.period]
#Column	e_Per	(F5.2)	rms error ({sigma}) in Per	[ucd=stat.error]
#Column	o_Per	(I1)	[2/7] Number of Per measurements over Q1-Q4	[ucd=meta.number]
#Column	Mm	(A3)	[CM/CSM/SM] Radial-velocity membership class (2)	[ucd=src]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
 ,"h:m:s","d:m:s",mag,mag,d,d, , ,
9654808,19 36 30.24,+46 22 15.1,16.69,16.00,10.75, 0.23,3,CSM,Simbad
9655609,19 37 38.27,+46 19 13.9,16.20,15.63,10.75, 0.19,4,CSM,Simbad
9656371,19 38 47.58,+46 18 07.0,16.19,15.60,10.75, 0.42,5,CSM,Simbad
9469908,19 35 22.54,+46 02 53.3,16.40,15.76,10.76, 0.32,4,CSM,Simbad
9654627,19 36 15.64,+46 18 09.5,16.40,15.73,10.76, 0.28,5,CSM,Simbad
9718106,19 39 50.54,+46 26 59.2,15.87,15.31,10.82, 0.49,6,CSM,Simbad
9836986,19 37 08.87,+46 38 15.2,16.87,16.18,10.82, 0.25,2,CSM,Simbad
9655315,19 37 14.44,+46 22 14.3,15.56,15.07,10.85, 0.35,5,CSM,Simbad
9655469,19 37 27.74,+46 19 35.9,16.69,16.04,10.90, 1.16,4,CSM,Simbad
9776327,19 36 47.77,+46 32 45.5,16.98,16.17,10.95, 0.14,5,CSM,Simbad
9655172,19 37 02.97,+46 18 46.8,15.99,15.40,10.99, 0.24,5,CSM,Simbad
9777281,19 38 09.97,+46 31 25.3,16.46,15.81,11.01, 0.43,4,CM ,Simbad
9717373,19 38 49.60,+46 24 13.1,17.14,16.37,11.03, 0.71,3,CSM,Simbad
9716650,19 37 45.97,+46 27 30.3,15.63,15.16,11.08, 0.57,4,SM ,Simbad
9896609,19 36 45.05,+46 44 57.9,17.38,16.55,11.10, 0.46,4,CSM,Simbad
9777828,19 38 56.54,+46 31 48.1,15.80,15.26,11.12, 0.16,6,CSM,Simbad
9592939,19 35 13.25,+46 15 20.4,16.48,15.70,11.17, 0.12,4,CM ,Simbad
9595006,19 38 10.87,+46 16 34.2,16.29,15.68,11.18, 0.11,5,CSM,Simbad
9777063,19 37 50.68,+46 32 06.2,17.02,16.27,11.20, 0.07,3,CSM,Simbad
9471316,19 37 21.50,+46 03 36.3,16.10,15.51,11.23, 0.98,4,CSM,Simbad
9531467,19 35 46.96,+46 06 27.1,16.08,15.49,11.29, 0.21,5,CSM,Simbad
9957187,19 37 07.31,+46 48 47.4,15.95,15.36,11.29, 0.26,3,CSM,Simbad
9838215,19 38 55.22,+46 37 18.8,16.09,15.53,11.77, 0.25,4,CSM,Simbad
9716177,19 37 02.36,+46 24 55.9,16.62,15.96,11.92, 0.40,2,CSM,Simbad
9655435,19 37 24.91,+46 22 16.2,16.71,15.98,11.99, 0.31,5,CM ,Simbad
9595724,19 39 17.31,+46 17 38.3,14.95,14.48,12.66, 0.32,3,CSM,Simbad
9717386,19 38 50.46,+46 27 11.6,16.56,15.94,16.40, 1.47,3,CSM,Simbad

