#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-13T21:45:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9ada5a1421
#INFO	-out.max=unlimited
#INFO	queryParameters=28
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/413/2218&tab:{J/MNRAS/413/2218/praesepe}&key:source=J/MNRAS/413/2218/praesepe&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/413/2218/praesepe
#-order=I
#-out=SWASP
#-out=X
#-out=Per
#-out=J-Ks
#-out=Ksmag
#-out=Vmag
#-out=Dist
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Mmb
#-out=SpType
#-out=Vmagl
#-out=B-Vl
#-out=Ref
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_74132218
#Name: J/MNRAS/413/2218
#Title: Stellar rotation in Hyades and Praesepe (Delorme+, 2011)
#Table	J_MNRAS_413_2218_praesepe:
#Name: J/MNRAS/413/2218/praesepe
#Title: Praesepe members with SuperWASP rotation periods
#Column	SWASP	(A19)	Swasp designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id;meta.main]
#Column	X	(A3)	[Yes/No ] X-ray activity? (table2 only) (1)	[ucd=meta.code]
#Column	Per	(F6.3)	Rotation (spin) period (2)	[ucd=time.period]
#Column	J-Ks	(F6.3)	2MASS J-Ks colour index	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	Ksmag	(F5.2)	2MASS Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	Vmag	(F5.2)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Dist	(F4.1)	Distance to the cluster centre	[ucd=pos.angDistance]
#Column	pmRA	(F5.1)	Proper motion along RA	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	Proper motion along DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Mmb	(F6.3)	Membership probability	[ucd=stat.probability]
#Column	SpType	(A4)	MK spectral type	[ucd=src.spType]
#Column	Vmagl	(F5.2)	? Literature V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-Vl	(F5.2)	? Literature B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Ref	(I2)	? Reference for photometry (1) [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(A19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SWASP name (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SWASP name (declination part)	[ucd=pos.eq.dec;meta.main]
 ; ;d;mag;mag;mag;deg;mas/yr;mas/yr;mas/yr;mas/yr; ; ;mag;mag; ; ;deg;deg
J083746.41+193557.5;   ; 9.500; 0.481;10.24;12.30; 0.6;-41.3; 6.3;-12.9; 6.3; 0.996;G8.7;12.32; 0.90;14;Cl* NGC 2632 KW 48 ;129.44337;+19.59931
J083747.39+190624.8;   ; 9.300; 0.464;10.20;11.90; 0.8;-35.6; 2.0;-15.1; 2.0; 0.911;G8.6;12.28; 0.91;14;Cl* NGC 2632 KW 52 ;129.44746;+19.10689
J083857.23+201053.6;   ;11.780; 0.764;10.71;13.70; 0.6;-41.2; 6.4;-15.4; 6.4; 1.000;K6  ;13.93; 1.33;14;Cl* NGC 2632 KW 560;129.73846;+20.18156
J083902.28+191934.4;   ; 9.420; 0.471;10.25;12.30; 0.5;-44.1; 6.3;-13.5; 6.3; 0.998;K   ;12.39; 0.93;14;Cl* NGC 2632 KW 141;129.75950;+19.32622
J083921.54+204529.4;   ; 9.110; 0.450;10.02;11.60; 1.1;-35.0; 1.3;-14.4; 1.3; 0.826;G7.6;11.86; 0.00;12;Cl* NGC 2632 JS 286;129.83975;+20.75817
J083930.44+200408.6;   ; 7.020; 0.333; 8.80;10.20; 0.4;-35.7; 0.8;-13.4; 0.7; 0.992;F8  ;10.31; 0.68;13;Cl* NGC 2632 KW 182;129.87683;+20.06906
J083935.53+185236.8;   ; 6.290; 0.328; 9.32;10.60; 0.8;-37.3; 1.2;-13.1; 1.5; 0.999;G   ;10.73; 0.65;13;Cl* NGC 2632 KW 196;129.89804;+18.87689
J083945.78+192201.1;   ; 5.900; 0.306; 9.25;10.80; 0.4;-35.3; 0.9;-12.8; 0.9; 1.000;G0  ;10.66; 0.58;13;Cl* NGC 2632 KW 208;129.94075;+19.36697
J084005.72+190130.7;   ; 4.800; 0.649;10.00;12.50; 0.7;-38.0; 6.3;-15.2; 6.4; 0.960;K3.2;12.62; 1.00;14;Cl* NGC 2632 KW 256;130.02383;+19.02519
J084022.41+203827.1;   ;14.590; 0.865;11.22;14.30; 1.0;-38.0; 1.0;-14.0; 2.0; 1.000;K7  ;14.61;     ;12;Cl* NGC 2632 JS 353;130.09337;+20.64086
J084025.56+192832.8;   ;13.150; 0.241; 8.76; 9.70; 0.2;-36.7; 0.8;-13.3; 0.7; 0.999;F4.8; 9.85; 0.47;13;Cl* NGC 2632 KW 293;130.10650;+19.47578
J084033.46+193801.0;   ; 9.340; 0.537;10.16;12.30; 0.1;-41.1; 6.3;-13.9; 6.4; 0.999;K0.8;12.18; 0.87;14;Cl* NGC 2632 KW 313;130.13942;+19.63361
J084036.23+213342.1;   ; 8.880; 0.421; 9.97;11.80; 1.9;-36.8; 1.1;-14.2; 0.6; 0.995;G6.2;11.64;     ;12;Cl* NGC 2632 JS 369;130.15096;+21.56169
J084044.25+202818.7;   ; 4.270; 0.839;10.40;13.80; 0.8;-36.0; 4.0;-10.0; 4.0; 0.906;K6  ;13.93;     ;12;Cl* NGC 2632 JS 379;130.18437;+20.47186
J084047.61+185411.9;   ; 8.890; 0.440; 9.68;11.20; 0.8;-36.2; 1.2;-14.9; 1.2; 0.996;G6.8;11.45; 0.74;13;Cl* NGC 2632 KW 336;130.19837;+18.90331
J084048.34+195518.9;   ; 7.430; 0.357; 9.50;11.00; 0.3;-35.5; 1.2;-13.0; 0.6; 1.000;G3  ;11.03; 0.65;13;Cl* NGC 2632 KW 335;130.20142;+19.92192
J084055.31+183459.0;   ;12.490; 0.796;11.12;14.00; 1.1;-41.2; 6.4;-14.2; 6.3; 0.998;K7.4;14.30;     ;12;Cl* NGC 2632 JS 398;130.23046;+18.58306
J084059.70+182204.5;   ; 9.130; 0.578; 9.68;11.50; 1.3;-41.4; 5.2;-12.5; 5.7; 0.995;K2.2;11.91; 1.10;12;Cl* NGC 2632 JS 402;130.24875;+18.36792
J084122.57+185602.0;   ;11.160; 0.626;10.53;12.90; 0.8;-35.4; 6.3;-11.2; 6.4; 0.994;K3  ;12.96; 1.04;14;Cl* NGC 2632 KW 390;130.34404;+18.93389
J084130.69+185218.6;   ; 2.430; 0.616;10.15;12.70; 0.9;-36.0; 2.0;-12.0; 3.0; 0.999;K3.1;12.97; 1.00;15;Cl* NGC 2632 KW 401;130.37787;+18.87183
J084143.67+195743.8;   ; 9.150; 0.507;10.25;12.40; 0.4;-40.5; 1.9;-13.1; 1.9; 0.989;K1.1;12.35; 0.88;14;Cl* NGC 2632 KW 417;130.43196;+19.96217
J084158.83+200627.2;   ;11.080; 0.644;10.59;13.00; 0.6;-44.1; 6.3;-18.1; 6.3; 0.999;K4  ;13.23; 1.11;15;Cl* NGC 2632 JS 466;130.49512;+20.10756
J084220.09+190905.7;   ;12.040; 0.698;10.69;13.20; 0.7;-37.0; 6.3;-16.8; 6.5; 0.998;K5  ;13.51; 1.24;12;Cl* NGC 2632 JS 482;130.58371;+19.15158
J084237.01+200832.0;   ;12.220; 0.763;10.87;13.70; 0.7;-42.4; 6.4;-16.5; 6.4; 1.000;K6  ;13.99; 1.27;15;Cl* NGC 2632 JS 493;130.65421;+20.14222
J084245.96+211616.3;   ; 3.520; 0.811;10.92;14.00; 1.7;-36.0; 3.0;-12.0; 1.0; 1.000;K7.5;     ;     ;  ;                   ;130.69150;+21.27119
J084248.47+203424.5;   ; 9.950; 0.531;10.26;12.40; 1.1;-35.2; 2.0;-13.1; 2.0; 1.000;K0.8;12.57; 0.78;12;Cl* NGC 2632 JS 503;130.70196;+20.57347
J084308.22+194247.7;   ;11.710; 0.631;10.66;13.10; 0.6;-43.9; 6.3;-17.8; 6.3; 0.998;K4  ;13.33; 1.15;15;Cl* NGC 2632 JS 520;130.78425;+19.71325
J084317.83+203037.3;   ; 8.910; 0.542; 9.77;12.00; 1.1;-37.3; 1.3;-14.2; 2.0; 0.981;K1.0;11.82; 0.83;16;Cl* NGC 2632 JS 529;130.82429;+20.51036
J084332.39+194437.8;   ; 9.750; 0.537;10.21;12.30; 0.7;-40.0; 2.0;-16.5; 2.0; 0.961;K0  ;12.34; 0.93;14;Cl* NGC 2632 KW 514;130.88496;+19.74383
J084344.72+211234.5;   ; 2.830; 0.836;11.41;14.80; 1.7;-38.0; 2.0;-12.0; 3.0; 1.000;M0.8;15.19;     ;12;Cl* NGC 2632 JS 545;130.93633;+21.20958
J084519.17+190010.9;   ;12.300; 0.758;10.89;13.50; 1.3;-43.9; 6.3;-11.5; 6.3; 0.997;K5.4;13.82; 0.78;12;Cl* NGC 2632 JS 591;131.32987;+19.00303
J084624.31+170235.1;   ;11.430; 0.674;10.19;12.90; 3.0;-51.8; 6.0; -8.5; 6.0; 0.945;    ;     ;     ;  ;                   ;131.60129;+17.04308
J084647.32+193840.9;   ; 6.280; 0.279; 9.34;10.90; 1.5;-36.5; 0.6;-13.9; 1.0; 1.000;G8  ;10.75; 0.60;16;Cl* NGC 2632 JS 638;131.69717;+19.64469
J084714.12+162347.3;   ; 5.700; 0.267; 9.29;10.60; 3.7;-37.7; 1.2;-12.6; 1.3; 1.000;F5.7;     ;     ;  ;                   ;131.80883;+16.39647
J084817.25+165447.7;   ;11.250; 0.739;10.59;13.50; 3.3;-42.7; 6.0;-18.8; 6.1; 1.000;    ;     ;     ;  ;                   ;132.07187;+16.91325
J084847.83+274136.5;   ;12.360; 0.780;10.58;13.70; 8.2;-52.5; 5.2;-18.8; 5.2; 0.994;    ;     ;     ;  ;                   ;132.19929;+27.69347
J084948.35+160750.7;   ;11.380; 0.503;10.43;12.60; 4.2;-44.8; 6.0;-11.6; 6.0; 0.997;    ;     ;     ;  ;                   ;132.45146;+16.13075
J090222.37+182223.9;   ;14.820; 0.611;10.34;12.60; 5.4;-32.0; 2.0; -8.0; 3.0; 0.671;    ;     ;     ;  ;                   ;135.59321;+18.37331

