#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-01T15:45:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b8ab3ef7096
#INFO	-out.max=unlimited
#INFO	queryParameters=33
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/822/47&tab:{J/ApJ/822/47/table4}&key:source=J/ApJ/822/47/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/822/47/table4
#-order=I
#-out=[RSP2011]
#-out=HIP
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#-out=EPIC
#-out=Kpmag
#-out=Mass
#-out=Bin
#-out=Ap
#-out=lc
#-out=IPer
#-out=IPw
#-out=I99.9
#-out=Q
#-out=mPer
#-out=use
#-out=K2Per
#-out=K2Pw
#-out=Amp
#-out=Ng
#-out=Bl
#-out=Lit
#Simbad=Simbad
#

#RESOURCE=yCat_18220047
#Name: J/ApJ/822/47
#Title: K2 rotation periods for 65 Hyades members (Douglas+, 2016)
#Table	J_ApJ_822_47_table4:
#Name: J/ApJ/822/47/table4
#Title: Rotation periods measured from K2 data
#Column	[RSP2011]	(I5)	? Roser et al. 2011, J/A+A/531/A92, identifier [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HIP	(I5)	? Hipparcos identifier [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	RAJ2000	(A10)	[3/4] Hour of Right Ascension (J2000)	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A11)	[12/26] Degree of Declination (J2000)	[ucd=pos.eq.dec,meta.main]
#Column	2MASS	(A16)	2MASS identifier (HHMMSSss+DDMMSSs, J2000) if any	[ucd=meta.id.cross]
#Column	EPIC	(I9)	EPIC identifier	[ucd=meta.id]
#Column	Kpmag	(F5.2)	[8.7/16.7] Kepler apparent magnitude	[ucd=phot.mag,em.opt]
#Column	Mass	(F8.2)	[0.1/1.2]? Mass	[ucd=phys.mass]
#Column	Bin	(I1)	[0/2]? Binary status code (1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Ap	(F4.1)	[2/6.5] Aperture radius (2)	[ucd=phys.size.radius]
#Column	lc	(A3)	Initial light curve for analysis (3)	[ucd=meta.code]
#Column	IPer	(F7.4)	[0.15/39.6] Initial orbital period	[ucd=time.period]
#Column	IPw	(F7.4)	[0.05/0.96] Initial periodogram power	[ucd=stat.fit.param]
#Column	I99.9	(F7.4)	[0.008/0.03] Initial 99.9-percentile of maximum peak	[ucd=stat.fit.param]
#Column	Q	(I1)	[0/2] Quality flag (0=confident detection or 1=residual noise or confusion in the periodogram)	[ucd=meta.code.qual]
#Column	mPer	(A1)	[MNY] Multiple periods in periodogram	[ucd=meta.code]
#Column	use	(A4)	Light curve selected for final analysis (4)	[ucd=meta.code]
#Column	K2Per	(F10.4)	[0.2/49.4]? K2 orbital period	[ucd=time.period]
#Column	K2Pw	(F10.4)	[0.09/0.98]? KS periodogram power	[ucd=stat.fit.param]
#Column	Amp	(F10.7)	[0.001/0.4] Amplitude	[ucd=src.var.amplitude]
#Column	Ng	(A1)	[NY] Denotes presence of a visually-identified neighbor somewhere on chip (5)	[ucd=meta.code]
#Column	Bl	(A1)	[MNY] A visually-identified neighbor is blended with the target on the chip (5)	[ucd=meta.code]
#Column	Lit	(I3)	Display the literature data for this star (table 2) [NULL integer written as an empty string]	[ucd=meta.ref.url]
 # , ,"h:m:s","d:m:s", , ,mag,Msun, ,pix, ,d, , , , , ,d, , , , ,
[RSP2011],HIP,RAJ2000,DEJ2000,2MASS,EPIC,Kpmag,Mass,Bin,Ap,lc,IPer,IPw,I99.9,Q,mPer,use,K2Per,K2Pw,Amp,Ng,Bl,Lit
  202,     ,04 17 25.1,+19 01 47.3,04172512+1901478,210744818,10.37,    0.68,0, 4.0,det,12.8433, 0.1407, 0.0117,1,N,corr,   12.8433,    0.4578, 0.0039040,Y,N,  0
  203,     ,04 17 28.1,+14 54 03.8,04172811+1454038,210470484,13.33,    0.36,0, 2.0,det, 2.3883, 0.1287, 0.0096,1,N,corr,    2.3788,    0.4353, 0.0107940,Y,Y,  0
  207,     ,04 17 47.6,+13 39 42.3,04174767+1339422,210408563,11.78,    0.60,2, 5.0,det, 8.6599, 0.4059, 0.0089,1,Y,corr,    8.6850,    0.4823, 0.0013295,N,N,  1
  208,     ,04 17 50.6,+18 28 30.6,04175061+1828307,210707811,12.81,    0.49,2, 4.0,det,22.4337, 0.0659, 0.0091,2,N,corr,          ,          , 0.0566885,Y,N,  0
  209,     ,04 17 51.6,+15 13 37.7,04175160+1513378,210489127,14.35,    0.25,0, 3.5,det, 3.6463, 0.4932, 0.0086,0,N,corr,    3.6508,    0.6701, 0.0054070,Y,N,  0
  210,     ,04 17 55.5,+14 32 46.5,04175555+1432464,210451321,13.86,    0.30,0, 4.0,det,10.1182, 0.7765, 0.0085,0,N,corr,   10.1182,    0.8654, 0.0095905,Y,N,  0
  214,     ,04 18 10.7,+23 17 04.7,04181077+2317048,211019716,10.02,    1.12,2, 6.5,raw, 1.8626, 0.6918, 0.0095,0,N,corr,    1.8626,    0.7241, 0.0154495,Y,Y,  1
  220,     ,04 18 33.8,+18 21 52.9,04183382+1821529,210700098,13.84,    0.19,0, 5.0,det, 2.3381, 0.8682, 0.0088,0,N,corr,    2.3381,    0.8837, 0.0095445,N,N,  0
  235,     ,04 20 27.6,+18 53 49.9,04202761+1853499,210736105,13.28,    0.23,0, 2.0,det,19.7757, 0.0611, 0.0107,1,N,corr,   20.3105,    0.6707, 0.0190685,Y,Y,  0
     ,     ,04 20 47.9,+15 14 08.9,04204796+1514092,210489654,12.62,    0.35,2, 4.5,raw,39.5726, 0.6979, 0.0092,0,N,corr,   43.5920,    0.8428, 0.0047810,N,N,  0
  247,     ,04 21 35.0,+14 41 42.8,04213508+1441427,210459199,14.43,    0.22,0, 3.0,det, 3.6419, 0.0549, 0.0104,0,N,corr,    3.6375,    0.4464, 0.0191080,Y,M,  0
     ,     ,04 21 49.5,+19 29 08.6,                ,210774807,14.06,    0.14,2, 5.5,det, 0.1515, 0.1632, 0.0083,1,Y,corr,    0.2050,    0.1910, 0.0101545,N,N,  1
  257,     ,04 22 39.5,+18 16 09.5,04223953+1816097,210693497,12.13,    0.41,0, 2.5,det,22.6025, 0.0708, 0.0097,2,N,corr,          ,          , 0.0112025,Y,N,  0
  267,20482,04 23 22.7,+19 39 31.5,04232283+1939312,210786154, 9.18,    1.02,2, 6.0,det,10.0170, 0.8969, 0.0102,0,N,corr,   10.0170,    0.9153, 0.0117830,Y,Y,  1
  277,     ,04 23 56.6,+18 38 20.1,04235666+1838201,210718930,14.61,    0.17,0, 6.0,det, 2.4210, 0.1032, 0.0090,1,N,corr,    2.4191,    0.2939, 0.0095385,N,N,  0
  288,20563,04 24 16.8,+18 00 10.7,04241691+1800107,210674406, 9.77,    0.92,0, 6.5,det,11.4703, 0.5929, 0.0090,0,N,corr,   11.4703,    0.6378, 0.0044710,Y,Y,  0
  290,     ,04 24 20.9,+19 10 50.7,04242092+1910509,210754620,14.40,    0.17,0, 3.0,det,21.9422, 0.0705, 0.0094,2,N,corr,          ,          , 0.0940585,Y,N,  0
  294,     ,04 24 30.5,+18 59 12.9,04243058+1859131,210742017,15.15,    0.19,2, 2.0,det,22.4337, 0.0710, 0.0087,2,N,corr,          ,          , 0.0386540,Y,Y,  0
  303,     ,04 25 14.5,+18 58 24.8,04251456+1858250,210741091,11.98,    0.59,2, 6.5,det,10.9678, 0.9144, 0.0090,0,N,corr,   10.9678,    0.9134, 0.0267885,Y,Y,  1
  311,     ,04 25 25.0,+17 54 55.2,04252501+1754552,210667985,10.62,    0.63,2, 3.5,raw, 0.2452, 0.0989, 0.0204,2,N,corr,          ,          , 0.1538085,Y,Y,  0
  315,     ,04 25 41.8,+19 00 47.6,04254182+1900477,210743724,13.80,    0.31,2, 3.5,det,22.6025, 0.1093, 0.0103,2,N,corr,          ,          , 0.0205540,Y,N,  0
  316,     ,04 25 47.0,+17 32 40.6,04254701+1732407,210640966,14.55,    0.23,2, 5.5,det, 2.5614, 0.1042, 0.0102,1,N,corr,    2.5614,    0.3060, 0.0029230,N,N,  1
  317,20679,04 25 47.4,+18 01 02.4,04254754+1801022,210675409, 8.77,    1.05,2, 6.5,det, 0.2461, 0.0690, 0.0104,2,N,corr,          ,          , 0.0852025,Y,N,  1
  328,     ,04 26 21.7,+18 00 01.0,04262170+1800009,210674207,14.60,    0.25,2, 4.5,det, 1.0549, 0.0820, 0.0101,1,Y,corr,    1.0542,    0.3086, 0.0063270,N,N,  1
  347,     ,04 27 58.9,+18 30 00.8,04275895+1830009,210709514, 9.79,    0.85,2, 6.5,det,11.1718, 0.5369, 0.0100,0,Y,corr,   11.1304,    0.5616, 0.0145890,Y,N,  1
  355,     ,04 28 28.7,+17 41 45.1,04282878+1741453,210651981,11.25,    0.78,2, 6.5,det, 2.4427, 0.6962, 0.0091,0,N,corr,    2.4427,    0.7059, 0.0148185,Y,Y,  1

